Feature,Importance
cat__user_cityid_831.0,0.0
cat__user_cityid_832.0,0.0
cat__user_cityid_838.0,0.0
cat__user_cityid_840.0,0.0
cat__user_cityid_842.0,0.0
cat__user_cityid_843.0,0.0
cat__user_cityid_845.0,0.0
cat__user_cityid_847.0,0.0
cat__user_cityid_848.0,0.0
cat__user_cityid_850.0,0.0
cat__user_cityid_851.0,0.0
cat__user_cityid_853.0,0.0
cat__user_cityid_855.0,0.0
cat__user_cityid_858.0,0.0
cat__user_cityid_859.0,0.0
cat__user_cityid_861.0,0.0
cat__user_cityid_863.0,0.0
cat__user_cityid_864.0,0.0
cat__user_cityid_865.0,0.0
cat__user_cityid_867.0,0.0
cat__user_cityid_868.0,0.0
cat__user_cityid_869.0,0.0
cat__user_cityid_870.0,0.0
cat__user_cityid_871.0,0.0
cat__user_cityid_876.0,0.0
cat__user_cityid_879.0,0.0
cat__user_cityid_881.0,0.0
cat__user_cityid_882.0,0.0
cat__user_cityid_883.0,0.0
cat__user_cityid_887.0,0.0
cat__user_cityid_890.0,0.0
cat__user_cityid_892.0,0.0
cat__user_cityid_893.0,0.0
cat__user_cityid_894.0,0.0
cat__user_cityid_896.0,0.0
cat__user_cityid_897.0,0.0
cat__user_cityid_898.0,0.0
cat__user_cityid_900.0,0.0
cat__user_cityid_903.0,0.0
cat__user_cityid_904.0,0.0
cat__user_cityid_908.0,0.0
cat__user_cityid_909.0,0.0
cat__user_cityid_917.0,0.0
cat__user_cityid_919.0,0.0
cat__user_cityid_922.0,0.0
cat__user_cityid_927.0,0.0
cat__user_cityid_928.0,0.0
cat__user_cityid_929.0,0.0
cat__user_cityid_930.0,0.0
cat__user_cityid_933.0,0.0
cat__user_cityid_935.0,0.0
cat__user_cityid_936.0,0.0
cat__user_cityid_938.0,0.0
cat__user_cityid_939.0,0.0
cat__user_cityid_940.0,0.0
cat__user_cityid_943.0,0.0
cat__user_cityid_944.0,0.0
cat__user_cityid_946.0,0.0
cat__user_cityid_947.0,0.0
cat__user_cityid_948.0,0.0
cat__user_cityid_949.0,0.0
cat__user_cityid_950.0,0.0
cat__user_cityid_951.0,0.0
cat__user_cityid_952.0,0.0
cat__user_cityid_953.0,0.0
cat__user_cityid_955.0,0.0
cat__user_cityid_956.0,0.0
cat__user_cityid_962.0,0.0
cat__user_cityid_963.0,0.0
cat__user_cityid_968.0,0.0
cat__user_cityid_969.0,0.0
cat__user_cityid_970.0,0.0
cat__user_cityid_972.0,0.0
cat__user_cityid_973.0,0.0
cat__user_cityid_975.0,0.0
cat__user_cityid_977.0,0.0
cat__user_cityid_978.0,0.0
cat__user_cityid_979.0,0.0
cat__user_cityid_980.0,0.0
cat__user_cityid_981.0,0.0
cat__user_cityid_984.0,0.0
cat__user_cityid_986.0,0.0
cat__user_cityid_990.0,0.0
cat__user_cityid_991.0,0.0
cat__user_cityid_992.0,0.0
cat__user_cityid_995.0,0.0
cat__user_cityid_997.0,0.0
cat__user_cityid_999.0,0.0
cat__user_cityid_1000.0,0.0
cat__user_cityid_1001.0,0.0
cat__user_cityid_1002.0,0.0
cat__user_cityid_1004.0,0.0
cat__user_cityid_1007.0,0.0
cat__user_cityid_1008.0,0.0
cat__user_cityid_1010.0,0.0
cat__user_cityid_1011.0,0.0
cat__user_cityid_1014.0,0.0
cat__user_cityid_1015.0,0.0
cat__user_cityid_1016.0,0.0
cat__user_cityid_1017.0,0.0
cat__user_cityid_1018.0,0.0
cat__user_cityid_1021.0,0.0
cat__user_cityid_1022.0,0.0
cat__user_cityid_1023.0,0.0
cat__user_cityid_1025.0,0.0
cat__user_cityid_1028.0,0.0
cat__user_cityid_1030.0,0.0
cat__user_cityid_1033.0,0.0
cat__user_cityid_1034.0,0.0
